toldWhatToDo,engagerMovingWorker,workerDecidingHowWorkIsDone,whenWorkHasToBeDone,workerDecideWhere,CarryOverValue,Exit,CarryOverFactName
Sometimes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
